foto_2,nedboer_3,straaling_2,lai_4
0_45_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_35_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_30_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_05_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_70_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,____4,___150_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,1_5___2_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_15_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,0___1,____250_MJ_m2,0_0___0_5
0_50_kg_m2,____4,150___199_MJ_m2,1_5___2_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_30_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_35_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_80_kg_m2,____4,____250_MJ_m2,1_5___2_5
0_55_kg_m2,0___1,150___199_MJ_m2,1_5___2_5
0_40_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_25_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_35_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,____250_MJ_m2,0_0___0_5
0_60_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_40_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_75_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,150___199_MJ_m2,1_5___2_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_75_kg_m2,2___3,____250_MJ_m2,0_5___1_5
0_80_kg_m2,2___3,____250_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_00_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_15_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_65_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_30_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_05_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_25_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_00_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_35_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,____250_MJ_m2,0_0___0_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,___150_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_30_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_20_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_80_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,1_5___2_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,1_5___2_5
0_40_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_35_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_25_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,1_5___2_5
0_60_kg_m2,2___3,150___199_MJ_m2,1_5___2_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_55_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_00_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_20_kg_m2,0___1,___150_MJ_m2,0_0___0_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_15_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,1_5___2_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_35_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_00_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,0___1,200___249_MJ_m2,1_5___2_5
0_70_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,2___3,___150_MJ_m2,0_0___0_5
0_60_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_35_kg_m2,2___3,___150_MJ_m2,0_5___1_5
0_30_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_70_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,2___3,200___249_MJ_m2,1_5___2_5
0_75_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,1_5___2_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_00_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,____4,___150_MJ_m2,0_5___1_5
0_25_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_20_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,1_5___2_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_30_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_20_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_00_kg_m2,2___3,____250_MJ_m2,0_0___0_5
0_70_kg_m2,2___3,____250_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_30_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,1_5___2_5
0_35_kg_m2,2___3,___150_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_15_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,1_5___2_5
0_35_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_75_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_30_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_00_kg_m2,____4,____250_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_35_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_10_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_75_kg_m2,2___3,____250_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,1_5___2_5
0_25_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_50_kg_m2,0___1,150___199_MJ_m2,1_5___2_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_45_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_55_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_30_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_35_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_10_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_35_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_25_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_00_kg_m2,____4,____250_MJ_m2,0_0___0_5
0_05_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_30_kg_m2,0___1,___150_MJ_m2,0_5___1_5
0_65_kg_m2,2___3,200___249_MJ_m2,1_5___2_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_20_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_55_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_20_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_10_kg_m2,2___3,____250_MJ_m2,0_0___0_5
0_55_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,____4,150___199_MJ_m2,1_5___2_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_40_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,1_5___2_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,____250_MJ_m2,0_5___1_5
0_40_kg_m2,____4,150___199_MJ_m2,1_5___2_5
0_35_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_75_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_60_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,____250_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_10_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_50_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_60_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_65_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_65_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,200___249_MJ_m2,0_0___0_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_25_kg_m2,0___1,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_80_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_80_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_60_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_60_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,1_5___2_5
0_70_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_80_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_50_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_75_kg_m2,____4,____250_MJ_m2,1_5___2_5
0_45_kg_m2,____4,150___199_MJ_m2,0_5___1_5
0_35_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_40_kg_m2,2___3,200___249_MJ_m2,0_0___0_5
0_55_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_45_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
0_45_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_55_kg_m2,0___1,200___249_MJ_m2,0_5___1_5
0_65_kg_m2,____4,200___249_MJ_m2,0_5___1_5
0_70_kg_m2,2___3,200___249_MJ_m2,1_5___2_5
0_35_kg_m2,2___3,____250_MJ_m2,0_0___0_5
0_00_kg_m2,____4,150___199_MJ_m2,0_0___0_5
0_70_kg_m2,2___3,200___249_MJ_m2,0_5___1_5
0_20_kg_m2,0___1,___150_MJ_m2,0_0___0_5
0_65_kg_m2,____4,____250_MJ_m2,0_5___1_5
0_10_kg_m2,2___3,150___199_MJ_m2,0_0___0_5
0_40_kg_m2,2___3,150___199_MJ_m2,0_5___1_5
0_50_kg_m2,0___1,150___199_MJ_m2,0_5___1_5
