udbytte,lai_3,meldug_4,lai_4
115___117_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,1_5___2_5,0_01___0_5__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
105___107_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
63___65_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
119___121_hkg_ha,4_5___5_5,0_01___0_5__,1_5___2_5
115___117_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
71___73_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
129___131_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
9___11_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
41___43_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
115___117_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
109___111_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
13___15_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,10___25__,0_0___0_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,10___25__,0_5___1_5
75___77_hkg_ha,1_5___2_5,10___25__,0_5___1_5
85___87_hkg_ha,3_5___4_5,2___6__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
117___119_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
115___117_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
123___125_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
79___81_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
27___29_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
91___93_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
121___123_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
99___101_hkg_ha,2_5___3_5,1___2__,0_5___1_5
83___85_hkg_ha,1_5___2_5,0_01___0_5__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
105___107_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,2_5___3_5,0_5___1__,0_5___1_5
47___49_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
117___119_hkg_ha,5_5___6_5,0_00___0_01__,1_5___2_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
39___41_hkg_ha,0_5___1_5,0_5___1__,0_0___0_5
93___95_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_01___0_5__,0_5___1_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
119___121_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,2___6__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
115___117_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
105___107_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
53___55_hkg_ha,1_5___2_5,10___25__,0_0___0_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
39___41_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
41___43_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
43___45_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
67___69_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
65___67_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
115___117_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
109___111_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
79___81_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
29___31_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
83___85_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
99___101_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,5_5___6_5,0_00___0_01__,1_5___2_5
113___115_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
99___101_hkg_ha,2_5___3_5,0_5___1__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
47___49_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
51___53_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
63___65_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
105___107_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,5_5___6_5,0_00___0_01__,1_5___2_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
41___43_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
89___91_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
17___19_hkg_ha,0_0___0_5,1___2__,0_0___0_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
107___109_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
105___107_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
39___41_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
123___125_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
37___39_hkg_ha,0_5___1_5,1___2__,0_0___0_5
97___99_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
13___15_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
7___9_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
85___87_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_5___1__,0_5___1_5
81___83_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
79___81_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
51___53_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
99___101_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
115___117_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
15___17_hkg_ha,0_0___0_5,0_01___0_5__,0_0___0_5
29___31_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
79___81_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
71___73_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
109___111_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
7___9_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
105___107_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
45___47_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
97___99_hkg_ha,2_5___3_5,0_5___1__,0_5___1_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,1_5___2_5
123___125_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
61___63_hkg_ha,0_5___1_5,0_01___0_5__,0_0___0_5
17___19_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
37___39_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
83___85_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
115___117_hkg_ha,3_5___4_5,0_01___0_5__,0_5___1_5
71___73_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
31___33_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
13___15_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
47___49_hkg_ha,0_5___1_5,25___50__,0_0___0_5
119___121_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
123___125_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
23___25_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,50___100__,0_0___0_5
87___89_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
27___29_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
71___73_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,1_5___2_5
67___69_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
19___21_hkg_ha,0_0___0_5,1___2__,0_0___0_5
87___89_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
43___45_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
69___71_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
121___123_hkg_ha,3_5___4_5,0_00___0_01__,1_5___2_5
43___45_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
25___27_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
109___111_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
121___123_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,2_5___3_5,0_01___0_5__,0_5___1_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
85___87_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,1_5___2_5,2___6__,0_5___1_5
103___105_hkg_ha,1_5___2_5,0_01___0_5__,0_5___1_5
77___79_hkg_ha,1_5___2_5,1___2__,0_5___1_5
89___91_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
119___121_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
63___65_hkg_ha,1_5___2_5,0_5___1__,0_5___1_5
49___51_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
107___109_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
71___73_hkg_ha,1_5___2_5,2___6__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
107___109_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
69___71_hkg_ha,1_5___2_5,2___6__,0_5___1_5
75___77_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
121___123_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
33___35_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
35___37_hkg_ha,0_5___1_5,0_5___1__,0_0___0_5
105___107_hkg_ha,3_5___4_5,0_5___1__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,4_5___5_5,0_00___0_01__,0_5___1_5
109___111_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
85___87_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,2___6__,0_5___1_5
69___71_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
29___31_hkg_ha,0_5___1_5,0_00___0_01__,0_5___1_5
41___43_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
107___109_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
123___125_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
41___43_hkg_ha,0_5___1_5,25___50__,0_0___0_5
105___107_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
73___75_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
83___85_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
119___121_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
117___119_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
37___39_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
81___83_hkg_ha,1_5___2_5,6___10__,0_5___1_5
71___73_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
41___43_hkg_ha,0_5___1_5,0_01___0_5__,0_0___0_5
101___103_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
117___119_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,3_5___4_5,0_01___0_5__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
61___63_hkg_ha,1_5___2_5,25___50__,0_0___0_5
37___39_hkg_ha,0_5___1_5,10___25__,0_0___0_5
111___113_hkg_ha,3_5___4_5,0_00___0_01__,1_5___2_5
93___95_hkg_ha,2_5___3_5,1___2__,0_5___1_5
75___77_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_01___0_5__,0_5___1_5
37___39_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
97___99_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,0_00___0_01__,0_0___0_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
71___73_hkg_ha,2_5___3_5,6___10__,0_5___1_5
89___91_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
71___73_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
113___115_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
57___59_hkg_ha,0_5___1_5,6___10__,0_0___0_5
51___53_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,6___10__,0_5___1_5
91___93_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
39___41_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
105___107_hkg_ha,3_5___4_5,0_00___0_01__,1_5___2_5
95___97_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
17___19_hkg_ha,0_0___0_5,6___10__,0_0___0_5
75___77_hkg_ha,1_5___2_5,0_00___0_01__,0_0___0_5
73___75_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
91___93_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,2_5___3_5,0_01___0_5__,0_5___1_5
101___103_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
45___47_hkg_ha,0_5___1_5,1___2__,0_0___0_5
85___87_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
67___69_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
67___69_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
125___127_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
87___89_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
89___91_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
51___53_hkg_ha,0_5___1_5,0_5___1__,0_0___0_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
99___101_hkg_ha,2_5___3_5,0_5___1__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
97___99_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
77___79_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
47___49_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
125___127_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
79___81_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
93___95_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
69___71_hkg_ha,1_5___2_5,0_00___0_01__,0_5___1_5
79___81_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
101___103_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
103___105_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
45___47_hkg_ha,0_5___1_5,0_00___0_01__,0_0___0_5
103___105_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
95___97_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,2_5___3_5,50___100__,0_0___0_5
115___117_hkg_ha,4_5___5_5,0_00___0_01__,1_5___2_5
0___1_hkg_ha,0_0___0_5,0_01___0_5__,0_0___0_5
93___95_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
75___77_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
111___113_hkg_ha,3_5___4_5,0_00___0_01__,0_5___1_5
87___89_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
0___1_hkg_ha,0_0___0_5,50___100__,0_0___0_5
97___99_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
85___87_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
81___83_hkg_ha,2_5___3_5,0_00___0_01__,0_5___1_5
