B,D,E,F,G,L,S,U,V
F,R,GT3,T,2,mother,no,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,father,no,yes,no
F,R,GT3,T,4,father,yes,yes,yes
F,U,LE3,A,3,mother,no,yes,no
M,U,LE3,T,1,father,no,yes,yes
F,U,LE3,T,1,father,no,yes,yes
F,R,LE3,A,1,mother,no,yes,no
F,U,GT3,T,3,mother,no,yes,yes
F,U,LE3,T,4,mother,yes,yes,yes
F,R,GT3,T,1,father,no,yes,no
M,R,GT3,T,1,mother,no,yes,no
M,U,LE3,T,4,mother,no,yes,yes
F,R,GT3,T,1,mother,no,yes,yes
F,U,GT3,T,2,father,no,yes,yes
F,R,GT3,T,4,father,no,yes,yes
M,R,LE3,T,1,father,yes,no,yes
F,U,GT3,T,2,mother,yes,yes,no
F,R,GT3,T,1,mother,yes,yes,yes
F,R,LE3,T,4,mother,no,yes,yes
F,R,GT3,T,1,mother,no,yes,yes
F,R,GT3,T,1,other,no,yes,yes
F,R,LE3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
F,R,GT3,T,3,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,R,GT3,T,2,mother,yes,yes,yes
M,U,GT3,T,2,father,yes,yes,yes
M,R,GT3,T,1,mother,no,yes,no
M,R,GT3,T,4,father,no,yes,no
F,R,GT3,T,2,mother,no,yes,no
F,U,GT3,T,4,mother,no,yes,yes
F,R,GT3,T,4,mother,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,yes
F,U,LE3,T,3,mother,no,yes,yes
F,U,GT3,T,1,mother,yes,yes,no
M,U,LE3,T,3,mother,no,yes,yes
M,R,LE3,T,3,mother,no,yes,yes
F,U,GT3,A,4,mother,no,yes,no
F,U,GT3,T,1,father,no,yes,yes
F,U,LE3,T,1,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,father,no,yes,no
M,U,LE3,T,4,mother,yes,yes,yes
M,U,LE3,T,2,mother,no,yes,yes
F,U,GT3,A,4,mother,no,yes,no
M,U,LE3,A,3,mother,no,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,GT3,T,2,father,yes,yes,yes
M,U,LE3,T,4,father,yes,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,U,GT3,A,2,other,no,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,mother,yes,yes,no
M,U,GT3,T,3,mother,yes,yes,yes
M,U,LE3,T,4,father,yes,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,U,GT3,T,4,father,no,yes,yes
M,U,LE3,T,4,mother,yes,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,U,LE3,A,3,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
M,U,LE3,T,3,mother,yes,yes,yes
M,U,GT3,T,3,mother,no,yes,yes
F,U,GT3,T,2,father,yes,yes,no
M,U,LE3,T,4,mother,yes,yes,yes
M,R,GT3,A,4,mother,yes,yes,yes
F,R,GT3,T,3,mother,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,no
F,U,LE3,T,2,mother,yes,yes,yes
M,U,LE3,T,4,other,no,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,U,GT3,T,2,father,no,yes,yes
F,U,LE3,T,2,father,yes,yes,yes
F,U,LE3,A,4,mother,yes,yes,yes
F,U,LE3,A,3,mother,no,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,no,yes,no
F,U,GT3,T,4,father,yes,yes,yes
F,U,LE3,T,2,mother,no,yes,yes
F,U,LE3,T,4,mother,no,yes,yes
M,U,LE3,A,4,father,no,yes,no
F,U,GT3,T,4,mother,no,yes,yes
F,U,LE3,A,3,mother,no,yes,yes
F,U,GT3,A,2,mother,yes,yes,yes
F,U,GT3,A,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,no
M,U,LE3,T,1,father,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,R,GT3,T,4,mother,yes,yes,no
F,U,GT3,T,1,father,yes,yes,yes
F,U,LE3,T,1,father,yes,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,LE3,T,4,father,yes,yes,yes
F,U,LE3,T,4,mother,yes,yes,yes
M,U,GT3,A,4,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
F,R,LE3,T,2,mother,no,yes,yes
F,R,LE3,T,3,father,no,yes,yes
M,U,GT3,T,3,father,no,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
F,R,GT3,T,1,mother,no,yes,yes
M,U,GT3,T,3,mother,yes,yes,no
F,U,GT3,T,3,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,2,mother,yes,no,yes
F,U,GT3,T,3,mother,no,yes,yes
M,U,GT3,T,2,father,yes,yes,yes
M,U,GT3,T,2,mother,no,yes,yes
F,U,LE3,T,3,mother,no,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,U,GT3,T,1,father,yes,yes,yes
F,U,GT3,T,4,father,no,yes,yes
F,U,LE3,T,2,mother,no,yes,no
F,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,2,father,yes,yes,yes
M,U,LE3,A,4,mother,no,yes,no
F,U,GT3,T,3,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,LE3,T,3,father,no,yes,no
F,U,GT3,T,4,mother,yes,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,R,GT3,T,1,mother,yes,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,no
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
M,U,GT3,A,3,mother,yes,yes,yes
F,U,GT3,A,3,father,no,yes,no
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,3,father,yes,yes,yes
M,R,GT3,T,4,father,yes,yes,yes
F,U,LE3,T,4,mother,yes,yes,yes
M,U,LE3,A,4,mother,yes,yes,yes
F,R,GT3,T,3,father,yes,yes,yes
F,U,GT3,T,2,mother,yes,yes,yes
M,U,LE3,T,4,mother,no,yes,yes
M,R,GT3,T,2,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,no
M,U,GT3,T,3,father,yes,yes,yes
M,R,GT3,T,1,father,yes,yes,yes
M,U,GT3,T,3,father,no,yes,yes
F,U,GT3,T,1,mother,no,yes,yes
M,U,GT3,T,2,father,yes,yes,yes
F,U,LE3,T,2,father,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,3,father,no,yes,yes
F,U,LE3,A,3,mother,yes,yes,yes
F,U,GT3,T,0,other,no,no,no
M,R,GT3,T,2,mother,yes,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
F,R,GT3,T,3,father,no,yes,yes
F,U,GT3,T,1,mother,yes,yes,yes
F,U,LE3,T,2,father,no,yes,yes
F,U,GT3,A,3,father,no,yes,yes
M,R,GT3,T,3,mother,no,yes,no
F,U,GT3,T,4,mother,yes,yes,yes
M,R,GT3,T,3,mother,no,yes,no
F,U,GT3,A,3,other,yes,yes,yes
M,U,LE3,T,1,mother,no,yes,no
F,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,father,no,yes,yes
M,U,LE3,T,2,father,yes,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,LE3,T,1,mother,no,yes,yes
M,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,1,father,no,yes,yes
F,U,GT3,T,3,father,no,yes,yes
F,U,GT3,T,1,mother,no,yes,yes
M,U,GT3,T,4,mother,no,no,yes
M,U,LE3,A,2,mother,no,yes,yes
M,U,LE3,T,1,mother,no,no,yes
M,U,LE3,T,2,mother,yes,yes,no
F,R,GT3,T,3,other,yes,yes,yes
M,U,GT3,T,3,mother,no,no,yes
F,U,GT3,T,4,mother,no,yes,no
M,R,GT3,T,2,mother,yes,yes,no
M,R,LE3,T,1,mother,no,yes,no
F,R,GT3,T,1,mother,yes,yes,no
M,R,GT3,T,2,mother,no,yes,no
M,U,GT3,T,3,father,no,yes,yes
M,R,LE3,T,2,mother,yes,no,yes
M,R,GT3,T,3,mother,no,yes,yes
M,U,LE3,T,1,mother,yes,yes,no
M,U,GT3,T,1,father,no,no,yes
M,R,LE3,T,1,mother,yes,no,no
M,U,GT3,T,3,mother,yes,no,no
M,U,GT3,T,2,father,no,no,yes
F,U,GT3,T,4,father,no,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
M,U,GT3,T,3,father,yes,yes,yes
M,U,GT3,T,1,mother,yes,yes,yes
M,U,LE3,T,4,mother,yes,yes,yes
F,U,GT3,T,1,mother,yes,yes,yes
F,U,LE3,T,3,mother,yes,yes,yes
M,U,LE3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,mother,yes,yes,yes
M,U,GT3,T,3,father,yes,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
F,U,GT3,T,2,father,yes,yes,no
F,U,LE3,T,3,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
M,U,GT3,T,1,mother,yes,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,U,GT3,A,3,mother,no,yes,yes
M,R,GT3,T,1,mother,no,yes,no
F,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,1,mother,yes,yes,yes
M,U,GT3,T,1,other,yes,yes,yes
M,R,GT3,T,3,mother,yes,yes,yes
M,U,GT3,T,2,father,no,yes,yes
F,U,LE3,T,2,father,yes,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,R,LE3,T,3,father,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,LE3,T,4,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,mother,yes,yes,no
F,U,GT3,T,1,mother,no,yes,no
F,R,GT3,T,2,mother,no,yes,yes
F,R,GT3,T,2,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
F,U,GT3,A,3,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,1,mother,no,yes,no
F,R,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,other,yes,yes,yes
M,U,LE3,T,4,mother,no,yes,yes
F,U,GT3,A,2,mother,no,yes,yes
M,U,GT3,T,2,mother,yes,yes,yes
F,R,LE3,T,4,mother,no,yes,no
F,U,LE3,T,3,mother,no,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
M,U,LE3,T,3,father,no,yes,yes
F,U,GT3,T,2,father,no,yes,no
F,U,GT3,T,2,mother,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,yes
F,U,GT3,T,1,mother,yes,yes,no
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,R,GT3,T,3,mother,yes,yes,yes
F,U,GT3,T,3,mother,yes,yes,yes
M,U,LE3,T,2,father,no,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,U,GT3,A,2,mother,yes,yes,yes
F,U,LE3,T,4,father,yes,yes,yes
M,R,GT3,T,2,father,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,U,LE3,T,1,mother,no,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
M,U,LE3,T,2,father,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
F,R,GT3,T,2,mother,yes,yes,no
M,U,GT3,T,2,father,no,no,yes
M,U,LE3,T,4,mother,yes,yes,yes
M,R,LE3,A,4,mother,no,yes,yes
M,U,LE3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,2,other,no,yes,yes
M,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,2,father,no,yes,yes
M,U,GT3,T,3,mother,no,no,yes
M,R,LE3,T,3,mother,no,yes,yes
M,U,GT3,T,0,mother,no,yes,yes
M,U,GT3,T,3,mother,no,no,yes
M,U,GT3,T,3,other,no,yes,yes
M,U,GT3,T,2,mother,no,no,yes
M,R,GT3,T,2,mother,yes,yes,no
M,R,GT3,T,2,mother,no,yes,yes
M,U,LE3,T,1,mother,yes,yes,yes
F,U,LE3,T,4,mother,yes,yes,yes
M,U,LE3,A,4,mother,no,yes,yes
M,U,GT3,T,2,mother,yes,yes,yes
F,U,LE3,T,2,father,yes,yes,yes
F,U,GT3,T,4,father,no,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
M,R,GT3,T,3,mother,yes,yes,no
F,U,GT3,T,3,mother,yes,yes,no
F,U,GT3,T,2,mother,yes,yes,yes
M,R,LE3,A,3,mother,yes,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
F,R,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
F,R,GT3,T,2,mother,no,no,yes
F,U,GT3,T,3,other,yes,yes,yes
F,U,GT3,T,2,father,yes,yes,yes
F,U,LE3,T,1,mother,no,yes,no
M,R,GT3,T,1,mother,yes,yes,no
F,U,GT3,T,2,mother,no,yes,yes
F,U,LE3,T,2,mother,no,yes,yes
F,R,GT3,A,3,mother,no,no,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,4,father,yes,yes,yes
M,U,LE3,T,4,mother,yes,yes,yes
M,U,LE3,A,4,mother,yes,yes,yes
M,U,LE3,A,3,mother,no,yes,yes
F,R,LE3,T,1,mother,yes,yes,no
F,U,GT3,T,1,mother,yes,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
M,U,GT3,T,1,father,no,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,1,mother,no,yes,yes
M,U,GT3,T,2,mother,yes,yes,yes
M,U,LE3,A,4,mother,yes,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,LE3,T,2,mother,no,yes,yes
F,R,LE3,T,3,mother,no,yes,no
M,R,LE3,T,3,mother,yes,yes,yes
M,U,GT3,T,3,mother,no,yes,yes
F,U,GT3,T,4,other,yes,yes,yes
F,U,LE3,T,4,other,no,yes,yes
F,U,GT3,T,4,father,no,yes,yes
M,U,LE3,T,4,mother,no,yes,yes
F,U,LE3,A,4,mother,no,yes,yes
M,U,LE3,T,4,father,no,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,GT3,T,3,father,yes,yes,yes
M,U,GT3,T,3,other,yes,yes,yes
F,U,GT3,T,2,other,yes,yes,yes
M,U,GT3,A,3,other,yes,yes,no
M,U,GT3,T,4,other,no,yes,yes
M,R,GT3,T,3,father,yes,yes,no
F,U,LE3,T,1,other,yes,yes,yes
F,U,LE3,T,1,other,yes,yes,no
F,U,GT3,T,2,other,no,no,yes
M,U,GT3,T,1,other,no,yes,yes
F,U,LE3,T,3,other,no,yes,yes
F,U,GT3,T,1,other,no,yes,yes
F,R,GT3,T,2,other,no,yes,yes
F,U,GT3,T,2,mother,yes,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,R,GT3,T,3,father,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
F,U,GT3,A,4,mother,no,yes,yes
F,U,GT3,T,2,mother,no,yes,no
F,R,LE3,T,2,mother,yes,yes,yes
F,U,GT3,T,3,father,no,yes,yes
F,U,LE3,T,0,father,no,yes,yes
M,U,GT3,T,4,mother,yes,yes,yes
M,U,GT3,T,3,mother,yes,yes,yes
M,R,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,4,mother,no,yes,yes
M,U,LE3,T,2,mother,yes,yes,yes
F,R,GT3,T,2,father,no,yes,yes
F,U,GT3,T,3,mother,yes,yes,yes
F,U,LE3,T,2,other,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,no
F,U,GT3,T,3,mother,no,yes,yes
F,R,GT3,A,3,other,no,yes,no
F,U,GT3,T,3,mother,no,yes,yes
F,U,LE3,T,3,mother,no,yes,yes
F,R,GT3,A,3,mother,no,yes,yes
F,U,GT3,T,2,other,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,U,LE3,T,3,mother,yes,yes,yes
F,U,GT3,A,2,father,no,yes,yes
F,U,GT3,T,2,mother,no,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
M,R,GT3,T,4,mother,no,yes,yes
M,U,GT3,T,4,mother,no,yes,yes
F,U,GT3,T,4,mother,yes,yes,yes
M,R,GT3,T,3,mother,no,yes,yes
M,R,GT3,T,1,other,no,yes,yes
M,U,GT3,T,3,mother,no,yes,yes
M,U,LE3,T,1,mother,no,no,yes
M,R,GT3,T,1,other,no,yes,yes
M,R,GT3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,father,no,yes,no
F,R,GT3,T,4,father,yes,yes,yes
F,U,LE3,A,3,mother,no,yes,no
M,U,LE3,T,1,father,no,yes,yes
F,U,LE3,T,1,father,no,yes,yes
F,R,LE3,A,1,mother,no,yes,no
M,R,LE3,T,1,mother,yes,no,no
F,U,GT3,T,3,mother,no,yes,yes
F,U,LE3,T,4,mother,yes,yes,yes
F,R,GT3,T,1,father,no,yes,no
M,R,GT3,T,1,mother,no,yes,no
M,U,LE3,T,4,mother,no,yes,yes
F,R,GT3,T,1,mother,no,yes,yes
F,U,GT3,T,2,father,no,yes,yes
F,R,GT3,T,4,father,no,yes,yes
F,U,LE3,T,3,other,yes,yes,no
M,R,LE3,T,1,father,yes,no,yes
F,U,GT3,T,2,mother,yes,yes,no
F,R,GT3,T,1,mother,yes,yes,yes
F,R,LE3,T,4,mother,no,yes,yes
F,R,GT3,T,1,mother,no,yes,yes
F,U,GT3,T,4,other,no,yes,yes
F,R,LE3,T,4,mother,yes,yes,yes
F,U,GT3,T,3,mother,no,yes,yes
F,R,GT3,T,3,mother,yes,yes,yes
M,U,GT3,T,4,father,yes,yes,yes
M,R,GT3,T,2,mother,yes,yes,yes
M,U,GT3,T,2,father,yes,yes,yes
M,R,GT3,T,1,mother,no,yes,no
M,R,GT3,T,4,father,no,yes,no
F,R,GT3,T,2,mother,no,yes,no
F,R,GT3,T,4,mother,yes,yes,yes
F,R,GT3,T,2,mother,yes,yes,yes
F,U,LE3,T,3,mother,no,yes,yes
F,U,GT3,T,1,mother,yes,yes,no
M,U,LE3,A,2,other,no,yes,no
M,U,LE3,T,3,mother,no,yes,yes
M,R,GT3,T,1,other,no,yes,no
M,R,LE3,T,3,mother,no,yes,yes
M,U,LE3,T,1,father,no,yes,yes
