HRBP,VENTMACH,VENTTUBE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2,HR,SAO2,PRESS,CATECHOL,DISCONNECT
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
LOW,ZERO,ZERO,NORMAL,LOW,HIGH,NORMAL,ZERO,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,LOW,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,ZERO,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,ZERO,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,NORMAL,NORMAL,HIGH,LOW,NORMAL,LOW,LOW,LOW,False,LOW,NORMAL,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,LOW,ZERO,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH,ZERO,NORMAL,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,ZERO,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,LOW,NORMAL,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,LOW,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,NORMAL,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
HIGH,NORMAL,LOW,ONESIDED,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,LOW,ZERO,NORMAL,ZERO,LOW,LOW,HIGH,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,True
LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,NORMAL,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,NORMAL,False
NORMAL,NORMAL,LOW,ONESIDED,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,False
NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,NORMAL,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,False,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,HIGH,HIGH,False,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,LOW,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,NORMAL,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False
NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,True
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,LOW,LOW,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False
